unix_time_offset,x_norm,y_norm,z,qx,qy,qz,qw
1193.18909358978,2933.45417679241,-381.735395668074,1.923359257,-0.032240327,0.01776583,0.583322886,0.811405784
1193.42781114578,2933.65633021016,-381.250139564974,1.909229045,-0.031793127,0.013306767,0.584553521,0.81062279
1193.61873412132,2933.88004410639,-380.700190203032,1.902176646,-0.030135999,0.013359847,0.585925219,0.80969437
1193.79466199875,2934.04723673919,-380.275968170026,1.900405782,-0.027096697,0.016495552,0.587110638,0.808884889
1194.01770353317,2934.21045483323,-379.850130944978,1.899402547,-0.023708029,0.019744611,0.588528178,0.807887779
1194.20839452744,2934.42354134843,-379.277941195061,1.894137694,-0.022000373,0.019629001,0.58982056,0.806995906
1194.40031862259,2934.59293242916,-378.819306054967,1.882080694,-0.023724787,0.015713876,0.589538295,0.807239003
1194.59228110313,2934.75000626827,-378.392997991061,1.866450662,-0.026307636,0.012393726,0.588961732,0.807637531
1194.81527161598,2934.96407506242,-377.812025172054,1.840808746,-0.028244928,0.010135758,0.58865838,0.807824735
1195.02189135551,2935.12833269546,-377.364444901003,1.826417021,-0.028106551,0.010083465,0.588825178,0.807708645
1195.19793534279,2935.28992639342,-376.921846259036,1.818147209,-0.025783397,0.010202453,0.589342689,0.80740716
1195.42084789276,2935.50695669418,-376.325344184996,1.816481618,-0.021323597,0.01096022,0.590213217,0.806891279
1195.59665465355,2935.67121890327,-375.872834405978,1.818297317,-0.020345483,0.01077545,0.590843571,0.806457579
1195.80353522301,2935.83819416817,-375.416835558019,1.823450993,-0.022346961,0.009823506,0.591266104,0.806107007
1195.9955201149,2936.04172648117,-374.874594922061,1.8351615,-0.026326053,0.009593789,0.591027393,0.806164697
1196.21834230423,2936.24188935524,-374.347333427984,1.843018464,-0.02849339,0.011660707,0.590839329,0.806201614
1196.41035223007,2936.40869909618,-373.904275833047,1.845479553,-0.027034668,0.014816301,0.59136256,0.805816311
1196.60222697258,2936.62544175144,-373.315416736994,1.847027428,-0.023750265,0.018601231,0.592193823,0.805230648
1196.79397344589,2936.80272033019,-372.819918254972,1.845711884,-0.024364812,0.019339922,0.592398893,0.805044021
1197.0169172287,2936.97169047827,-372.35209723399,1.842653908,-0.026539264,0.017185564,0.591934624,0.805365584
1197.20781755447,2937.19128766144,-371.768923933036,1.84219982,-0.030209219,0.011522653,0.591012827,0.806013939
1197.39969563484,2937.37720679725,-371.287715023034,1.848062932,-0.032383586,0.007885528,0.590750262,0.80616577
1197.60556674004,2937.55227156822,-370.834326558048,1.855397519,-0.031847216,0.008407202,0.591072764,0.805945446
1197.7974395752,2937.76236919407,-370.285823629005,1.858031181,-0.029112768,0.01477913,0.591875933,0.805367559
1198.00436329842,2937.95149678923,-369.790229181992,1.852089397,-0.026729504,0.022688746,0.592487302,0.804816471
1198.21129751205,2938.12095656339,-369.347142367042,1.84226291,-0.026335314,0.026583338,0.592803132,0.804477609
1198.41930532455,2938.34637773922,-368.761769750039,1.831353534,-0.02820497,0.022669045,0.593097776,0.804316866
1198.61000823975,2938.51574991411,-368.327582450002,1.832585723,-0.030124381,0.014900669,0.593430649,0.804183161
1198.81789803505,2938.67968365317,-367.910796756041,1.838504047,-0.031726698,0.008351624,0.593584075,0.804102987
1198.99384045601,2938.88775980426,-367.379600065062,1.852247383,-0.031779268,0.005288202,0.593533556,0.804164182
1199.20074129105,2939.0823491253,-366.87603299797,1.871527542,-0.029526756,0.008051784,0.593639421,0.804148977
1199.42359256744,2939.29337716429,-366.322157707065,1.887776711,-0.025124691,0.013775549,0.593917327,0.804015667
1199.59944653511,2939.45731717814,-365.890232288046,1.885681283,-0.023216782,0.017202985,0.59421792,0.803784861
1199.82334446907,2939.6398304184,-365.407395047019,1.866681998,-0.023106902,0.018207591,0.594736798,0.803382036
1200.01529288292,2939.80832174327,-364.963266942068,1.840216892,-0.023963949,0.016245816,0.595362527,0.802935405
1200.20717692375,2940.02682001842,-364.392739841016,1.809492127,-0.025011241,0.011301452,0.595863423,0.802616656
1200.41505503654,2940.20830631815,-363.917954027071,1.793276169,-0.024551584,0.008037774,0.596048647,0.802532631
1200.60618853569,2940.38267904613,-363.465698583983,1.785804583,-0.02326794,0.007298361,0.596514949,0.80223142
1200.81395101547,2940.6161566861,-362.866938062012,1.790989097,-0.023275674,0.008414984,0.598126259,0.801019607
1201.0207016468,2940.80335316621,-362.389486405067,1.802555359,-0.024454459,0.009380795,0.599639929,0.799841194
1201.19658541679,2940.96873725718,-361.969032043009,1.811736702,-0.026788344,0.009773944,0.600584067,0.79905296
1201.40447092056,2941.21122571826,-361.349042601069,1.81841827,-0.029487509,0.009358143,0.601449742,0.798311418
1201.61132287979,2941.3947766372,-360.871778459055,1.819115148,-0.029861346,0.010115183,0.601955741,0.797906805
1201.81828022003,2941.6232079193,-360.268831401016,1.816606521,-0.027972761,0.012005962,0.603041492,0.797128811
1202.00933337212,2941.81309820432,-359.769180267002,1.817753848,-0.025299337,0.01279468,0.604192018,0.796334255
1202.20099473,2941.99375364231,-359.295085652033,1.826572629,-0.02350295,0.013690658,0.604943893,0.795803408
1202.40898394585,2942.21078609023,-358.716475013993,1.844372737,-0.024131154,0.016405868,0.605744021,0.79512434
1202.60087370872,2942.39659859426,-358.212347293971,1.856718613,-0.026951563,0.020037775,0.606511987,0.794364722
1202.82273173332,2942.56264471915,-357.755688981037,1.859177694,-0.030280771,0.022951974,0.607441121,0.793455459
1202.99878931046,2942.76510568941,-357.192339997971,1.854686878,-0.033400136,0.023732704,0.608727617,0.792320565
1203.22141194344,2942.94507788913,-356.685190167045,1.851911164,-0.033302042,0.020971863,0.609885646,0.791511625
1203.41244459152,2943.10276347445,-356.231950000976,1.854488839,-0.030727803,0.01713528,0.610497828,0.791236113
1203.60422086716,2943.29638803517,-355.660588546074,1.867706055,-0.025782269,0.013347569,0.610361895,0.791590471
1203.81119608879,2943.45963129913,-355.17187765101,1.886606154,-0.022861638,0.011553792,0.610656046,0.791481553
1204.01803326607,2943.61153133214,-354.715739062987,1.907461283,-0.022435133,0.01141986,0.611104392,0.79114959
1204.2249352932,2943.81495348923,-354.107591951033,1.928014983,-0.025674148,0.012446557,0.611082805,0.791052291
1204.41584205627,2943.96107260324,-353.676554411999,1.932834958,-0.0297368,0.01270693,0.610762442,0.79115327
1204.62285876274,2944.1692681862,-353.076336093014,1.928133383,-0.033000463,0.011625149,0.610351205,0.791357841
1204.81386971474,2944.33387075225,-352.609514622018,1.91863327,-0.031430751,0.010705184,0.610328872,0.791451941
1205.02059912682,2944.49738249416,-352.148354668054,1.909757469,-0.026248365,0.010311475,0.611007656,0.791122204
1205.21153593063,2944.66366042523,-351.673419044004,1.90163503,-0.019511792,0.010398446,0.612277875,0.790333453
1205.41835665703,2944.87533432525,-351.050374928047,1.894357398,-0.014217184,0.011788298,0.613502321,0.789476922
1205.59421038628,2945.03621630324,-350.571192687028,1.89360623,-0.014835707,0.012243796,0.614046605,0.789035334
1205.80109643936,2945.23023166042,-350.008921256056,1.895559478,-0.022192502,0.012389694,0.614650817,0.788389727
1206.00805330276,2945.42095959419,-349.473193558049,1.896467859,-0.032054088,0.011380359,0.615186318,0.787647648
1206.21496200562,2945.58784004115,-349.008932224009,1.896871906,-0.0390191,0.009333139,0.615481373,0.787129648
1206.40687918663,2945.81821439229,-348.371783512994,1.902951644,-0.04061959,0.007640843,0.61548445,0.78706452
1206.59767007828,2946.00222856412,-347.856548520038,1.917226283,-0.034264752,0.009139653,0.61550357,0.787335855
1206.82053923607,2946.2126909662,-347.251147169038,1.934737713,-0.023270454,0.013196676,0.616410595,0.786970337
1206.99658989906,2946.3739478183,-346.771801009076,1.946256479,-0.017203708,0.01750497,0.617438252,0.78623636
1207.20342135429,2946.5424249121,-346.256510460982,1.950183031,-0.015618234,0.021855199,0.618215739,0.785549312
1207.41126036644,2946.73816474527,-345.652360565029,1.944547102,-0.019828516,0.023343858,0.618733548,0.785003625
1207.60310506821,2946.90539230825,-345.134523104061,1.935253288,-0.025275045,0.021617083,0.61905451,0.784643478
1207.7950322628,2947.0608247132,-344.647184408037,1.92506949,-0.03034247,0.017648377,0.619739207,0.784022439
1208.01791977882,2947.2543024472,-344.038800770068,1.920512261,-0.032823286,0.012402889,0.620575993,0.78336086
1208.22475028038,2947.41128359223,-343.538619355997,1.92891176,-0.032132265,0.01099436,0.621511703,0.782668413
1208.43174386024,2947.5612432491,-343.05684245599,1.947523438,-0.031468822,0.011470935,0.622987782,0.781514142
1208.60759854317,2947.73841832718,-342.487689982052,1.968858653,-0.030486721,0.012733711,0.62503244,0.779899264
1208.7995057106,2947.89310754417,-341.98887000198,1.982914827,-0.030761139,0.012644543,0.626653987,0.778587598
1209.02245235443,2948.03734712116,-341.515419666073,1.991325932,-0.031448956,0.010336754,0.627820843,0.777653589
1209.21329021454,2948.2258176622,-340.892995828064,1.995943144,-0.030724858,0.007934747,0.628401154,0.777241926
1209.42018079758,2948.37126816018,-340.412371966988,1.994655082,-0.0282356,0.008381372,0.628920627,0.776911416
1209.61218214035,2948.51319885021,-339.938233757974,1.993080472,-0.024174493,0.01093398,0.629640998,0.776433034
1209.80399751663,2948.69088945026,-339.339197995025,1.990956658,-0.020522266,0.014441994,0.630562377,0.775732785
1210.01087713242,2948.84075878514,-338.827245049062,1.987295105,-0.021229031,0.016068723,0.631568621,0.774862698
1210.2178504467,2948.97293324023,-338.369325725012,1.981289555,-0.023209601,0.016495429,0.63256996,0.773979626
1210.40870571136,2949.14901969722,-337.744984533056,1.964418996,-0.026512373,0.016599739,0.633613846,0.773016842
1210.61564707756,2949.28545320313,-337.241711494979,1.948309062,-0.028670493,0.015728728,0.634660482,0.772098881
1210.80750918388,2949.41325992113,-336.754489485989,1.934302282,-0.028049763,0.014193355,0.635760783,0.771245737
1211.01442933083,2949.57315383945,-336.133238699054,1.92313464,-0.024240549,0.011616778,0.63682426,0.770540271
1211.20633006096,2949.69680067711,-335.643973993021,1.921364383,-0.02009312,0.009816395,0.638088193,0.769638462
1211.41422057152,2949.81705385027,-335.161522581009,1.92686503,-0.017452195,0.008940897,0.639695978,0.768377861
1211.60612821579,2949.96900451416,-334.539506857051,1.944970093,-0.019620794,0.008817525,0.641561223,0.766770156
1211.81297945976,2950.08483909909,-334.048625110998,1.963835052,-0.025180517,0.008906914,0.642729274,0.765627644
